Date,BTC,ETH,NEO,XRP,BCH,DASH,BCC,ETC,MIOTA,LTC,XMR,XEM,NMR,STRAT,WAVES
Nov 07 2017,7023.10,298.57,26.26,0.205103,602.68,274.87,260.04,14.14,0.371509,54.99,104.23,0.186479,10.77,3.01,3.52
Nov 06 2017,7403.22,296.43,26.47,0.201967,630.31,273.47,276.58,13.30,0.351011,54.76,86.42,0.181340,11.26,3.04,3.46
Nov 05 2017,7404.52,300.04,26.48,0.203274,619.91,274.33,278.10,11.86,0.367915,55.03,87.31,0.170760,11.45,3.00,3.61
Nov 04 2017,7164.48,305.48,26.77,0.208083,635.35,278.58,270.45,12.63,0.391327,56.22,87.90,0.171515,12.45,3.12,3.65
Nov 03 2017,7087.53,288.50,24.60,0.206205,587.32,263.89,262.93,10.24,0.362970,54.58,83.53,0.166597,9.15,2.84,3.21
Nov 02 2017,6777.77,290.73,26.75,0.194596,527.68,271.79,251.29,10.27,0.370966,53.56,85.66,0.166398,10.28,3.04,2.92
Nov 01 2017,6440.97,305.76,28.38,0.200247,438.30,278.50,239.45,10.60,0.390863,55.74,87.65,0.186957,11.64,3.36,3.23
Oct 31 2017,6132.02,307.38,28.69,0.202405,449.37,285.39,227.38,10.87,0.407912,56.37,88.75,0.199406,12.87,3.79,3.47
Oct 30 2017,6114.85,304.78,27.72,0.203076,458.45,283.65,225.77,10.84,0.403103,56.84,88.59,0.200239,11.55,4.08,3.55
Oct 29 2017,5754.44,296.38,27.20,0.201358,420.47,275.25,211.72,10.59,0.395947,54.67,86.27,0.197333,12.14,4.26,3.46
Oct 28 2017,5787.82,297.92,28.86,0.202592,369.54,281.42,213.13,10.40,0.424433,55.38,86.91,0.197981,12.19,4.39,3.54
Oct 27 2017,5899.74,296.51,28.33,0.203668,338.30,286.14,216.65,10.49,0.416744,55.67,88.58,0.199349,12.07,4.43,3.62
Oct 26 2017,5747.95,298.02,28.48,0.204444,332.11,289.03,206.38,10.62,0.443666,56.47,88.17,0.205685,12.53,4.96,3.72
Oct 25 2017,5524.60,298.44,30.11,0.207113,326.59,294.47,193.74,10.58,0.455356,55.95,88.49,0.212028,13.13,4.04,3.76
Oct 24 2017,5935.52,287.12,27.34,0.195567,315.90,283.94,196.65,10.28,0.389144,54.96,85.16,0.197404,11.72,3.35,3.67
Oct 23 2017,6006.00,295.10,28.49,0.203504,330.67,275.44,204.72,10.82,0.391371,56.77,86.48,0.211283,11.98,3.15,3.58
Oct 22 2017,6036.66,300.55,27.15,0.210958,323.50,277.93,208.50,10.93,0.390836,58.27,88.18,0.213296,12.64,3.04,3.58
Oct 21 2017,5996.79,303.57,27.76,0.210189,326.75,288.95,213.01,11.21,0.403854,60.30,90.41,0.216010,14.11,2.99,3.64
Oct 20 2017,5708.11,308.05,28.68,0.215086,330.90,295.41,199.81,11.36,0.432863,59.81,88.71,0.220943,14.70,3.09,3.89
Oct 19 2017,5583.74,314.54,29.66,0.218229,339.27,297.85,195.58,11.52,0.457196,60.82,89.66,0.219728,14.30,3.22,4.04
Oct 18 2017,5603.82,316.94,31.66,0.231216,373.65,300.02,193.93,11.92,0.474621,59.59,91.19,0.217380,13.92,3.06,3.93
